Created On,Name,Title,Order Count,Clicks,Order Volume,Commissions Earned,Affiliate Merchant,Short URL,Collection Name,Collection URL,URL
09/03/2025,Tiffany Wendel Stylist,Lottie Leather Bow Loafers,-,28,-,-,Saks Fifth Avenue,https://go.shopmy.us/p-24489179,the Cutest Classic,https://shopmy.us/collections/2283160,https://www.saksfifthavenue.com/product/stuart-weitzman-lottie-leather-bow-loafers-0400023846664.html?ranMID=13816&ranEAID=QFGLnEolOWg&ranSiteID=QFGLnEolOWg-X.xVGUUILBFmr5IMQalEig&site_refer=AFF001&mid=13816&siteID=QFGLnEolOWg-X.xVGUUILBFmr5IMQalEig&LSoid=1810999&LSlinkid=10&LScreativeid=1&dwvar_0400023846664_color=NICE+BLUE
09/03/2025,Tiffany Wendel Stylist,Pleated Skirts,-,2,-,-,Jenni Kayne,https://go.shopmy.us/p-24479777,-,-,https://www.jennikayne.com/products/pleated-skirt-slate?variant=42741074952365&utm_source=google&utm_medium=cpc&utm_campaign=22928706866&utm_content=183032751303&utm_term=&utm_adid&tw_source=google&tw_adid=770783532472&tw_campaign=22928706866&tw_kwdid=pla-297616372023&gad_source=1&gad_campaignid=22928706866&gbraid=0AAAAADhJxZEDaPBEsP7CD4BoCmn2erUrB&gclid=Cj0KCQjwzt_FBhCEARIsAJGFWVlnih2tDrKDEgJ4fvEeocI1nnSg9R6e6jEPMcVyXGM13ZMuKpBK-doaAtYcEALw_wcB
09/03/2025,Tiffany Wendel Stylist,Alexi Skirt | La Ligne NYC,-,-,-,-,-,https://go.shopmy.us/p-24467871,-,-,https://rstyle.me/+KvrI9LiQ9IyEaRNJdqxHIg
09/03/2025,Tiffany Wendel Stylist,Colby Satin Wide-Leg Pants,-,-,-,-,La Ligne,https://go.shopmy.us/p-24467733,-,-,https://lalignenyc.com/products/colby-pant-tomato
09/03/2025,Tiffany Wendel Stylist,Lean Lines Striped Cashmere Sweater,-,-,-,-,La Ligne,https://go.shopmy.us/p-24467657,-,-,https://lalignenyc.com/products/lean-lines-sweater-chocolate-tomato-cream
09/03/2025,Tiffany Wendel Stylist,Cropped James Sweatshirt,-,-,-,-,La Ligne,https://go.shopmy.us/p-24467592,-,-,https://lalignenyc.com/products/cropped-james-sweatshirt-black
09/03/2025,Tiffany Wendel Stylist,Colby Sweatpant,-,-,-,-,La Ligne,https://go.shopmy.us/p-24467490,-,-,https://lalignenyc.com/products/colby-sweatpant-black
09/03/2025,Tiffany Wendel Stylist,Marilyn Mid-Rise Barrel Corduroy Pant,-,-,-,-,La Ligne,https://go.shopmy.us/p-24467368,-,-,https://lalignenyc.com/products/the-marilyn-corduroy-red
09/03/2025,Tiffany Wendel Stylist,La Ligne Jill Hoodie,-,-,-,-,Saks Fifth Avenue,https://go.shopmy.us/p-24467019,-,-,https://www.saksfifthavenue.com/product/la-ligne-jill-hoodie-0400024021802.html?dwvar_0400024021802_color=RED&dwvar_0400024021802_size=Medium
09/03/2025,Tiffany Wendel Stylist,Bastien Sweater ,-,-,-,-,Saks Fifth Avenue,https://go.shopmy.us/p-24466864,-,-,https://www.saksfifthavenue.com/product/la-ligne-bastien-sweater-0400025075168.html?dwvar_0400025075168_color=CHOCOLATE%20POPPY%20CREAM
09/03/2025,Tiffany Wendel Stylist,Sandro Midi Pleated Skirt,-,-,-,-,Saks Fifth Avenue,https://go.shopmy.us/p-24466270,-,-,https://www.saksfifthavenue.com/product/sandro-midi-pleated-skirt-23491438.html
09/03/2025,Tiffany Wendel Stylist,Sandro Pinstripe Jacket,-,-,-,-,Saks Fifth Avenue,https://go.shopmy.us/p-24466124,-,-,https://www.saksfifthavenue.com/product/sandro-pinstripe-jacket-23492333.html
09/03/2025,Tiffany Wendel Stylist,Maje Zipped Mixed Wool Bomber Jacket,-,-,-,-,Saks Fifth Avenue,https://go.shopmy.us/p-24466067,-,-,https://www.saksfifthavenue.com/product/maje-zipped-mixed-wool-bomber-jacket-23490161.html
09/03/2025,Tiffany Wendel Stylist,La Ligne Dominick Sweater,-,-,-,-,Saks Fifth Avenue,https://go.shopmy.us/p-24466018,-,-,https://www.saksfifthavenue.com/product/la-ligne-dominick-sweater-25075164.html
09/03/2025,Tiffany Wendel Stylist,Miu Miu Velvet Baseball Cap,-,-,-,-,Saks Fifth Avenue,https://go.shopmy.us/p-24465976,-,-,https://www.saksfifthavenue.com/product/miu-miu-velvet-baseball-cap-25075156.html
09/03/2025,Tiffany Wendel Stylist,Maje Cropped Argyle Jumper,-,-,-,-,Saks Fifth Avenue,https://go.shopmy.us/p-24465940,-,-,https://www.saksfifthavenue.com/product/maje-cropped-argyle-jumper-23490599.html
